block_number,block_timestamp,txid,out_btc,fee_btc,n_input_addresses,n_traced_in_label_range,n_patoshi_minted,patoshi_fraction,n_traced_above_label_range,n_untraced_already_circulating
170,2009-01-12 03:30:25.000000 UTC,f4184fc596403b9d638783cf57adfe4c75c605f6356fbc91338530e9831e9e16,50,0,1,1,1,1.0000,0,0
181,2009-01-12 06:02:13.000000 UTC,a16f3ce4dd5deb92d98ef5cf8afeaf0775ebca408f708b2146c4fb42b41e14be,40,0,1,1,1,1.0000,0,0
182,2009-01-12 06:12:16.000000 UTC,591e91f809d716912ca1d4a9295e70c3e78bab077683f79350f101da64588073,30,0,1,1,1,1.0000,0,0
183,2009-01-12 06:34:22.000000 UTC,12b5633bad1f9c167d523ad1aa1947b2732a865bf5414eab2f9e5ae5d5c191ba,29,0,1,1,1,1.0000,0,0
187,2009-01-12 07:16:40.000000 UTC,4385fcf8b14497d0659adccfe06ae7e38e0b5dc95ff8a13d7c62035994a0cd79,1,0,1,0,0,,0,1
221,2009-01-12 14:21:00.000000 UTC,298ca2045d174f8a158961806ffc4ef96fad02d71a6b84d9fa0491813a776160,1,0,1,0,0,,0,1
248,2009-01-12 20:04:20.000000 UTC,828ef3b079f9c23829c56fe86e85b4a69d9e06e5b54ea597eef5fb3ffef509fe,28,0,1,1,1,1.0000,0,0
496,2009-01-14 20:40:55.000000 UTC,a3b0e9e7cddbbe78270fa4182a7675ff00b92872d8df7d14265a2b1e379a9d33,61,0,3,1,0,0.0000,0,2
524,2009-01-15 01:46:26.000000 UTC,d71fd2f64c0b34465b7518d240c00e83f6a5b10138a7079d1252858fe7e6b577,50,0,1,1,1,1.0000,0,0
545,2009-01-15 05:48:32.000000 UTC,35288d269cee1941eaebb2ea85e32b42cdb2b04284a56d8b14dcc3f5c65d6055,25,0,1,0,0,,0,1
546,2009-01-15 06:08:20.000000 UTC,28204cad1d7fc1d199e8ef4fa22f182de6258a3eaafe1bbe56ebdcacd3069a5f,25,0,2,0,0,,0,2
546,2009-01-15 06:08:20.000000 UTC,3c1d7e82342158e4109df2e0b6348b6e84e403d8b4046d7007663ace63cddb23,25,0,1,0,0,,0,1
546,2009-01-15 06:08:20.000000 UTC,6b0f8a73a56c04b519f1883e8aafda643ba61a30bd1439969df21bea5f4e27e2,25,0,2,0,0,,0,2
586,2009-01-15 14:25:20.000000 UTC,4d6edbeb62735d45ff1565385a8b0045f066055c9425e21540ea7a8060f08bf2,250,0,5,5,0,0.0000,0,0
586,2009-01-15 14:25:20.000000 UTC,6bf363548b08aa8761e278be802a2d84b8e40daefe8150f9af7dd7b65a0de49f,50,0,1,1,0,0.0000,0,0
593,2009-01-15 15:51:56.000000 UTC,e36f06a8dfe44c3d64be2d3fe56c77f91f6a39da4a5ffc086ecb5db9664e8583,50,0,1,1,0,0.0000,0,0
