block_number,block_timestamp,txid,input_count,output_count,in_btc,out_btc,fee_btc,outputs_btc,out_addresses,in_addresses
170,2009-01-12 03:30:25.000000 UTC,f4184fc596403b9d638783cf57adfe4c75c605f6356fbc91338530e9831e9e16,1,2,50,50,0,10.00000000 | 40.00000000,1Q2TWHE3GMdB6BZKafqwxXtWAWgFt5Jvm3 | 12cbQLTFMXRnSzktFkuoG3eHoMeFtpTu3S,12cbQLTFMXRnSzktFkuoG3eHoMeFtpTu3S
181,2009-01-12 06:02:13.000000 UTC,a16f3ce4dd5deb92d98ef5cf8afeaf0775ebca408f708b2146c4fb42b41e14be,1,2,40,40,0,10.00000000 | 30.00000000,1DUDsfc23Dv9sPMEk5RsrtfzCw5ofi5sVW | 12cbQLTFMXRnSzktFkuoG3eHoMeFtpTu3S,12cbQLTFMXRnSzktFkuoG3eHoMeFtpTu3S
182,2009-01-12 06:12:16.000000 UTC,591e91f809d716912ca1d4a9295e70c3e78bab077683f79350f101da64588073,1,2,30,30,0,1.00000000 | 29.00000000,1LzBzVqEeuQyjD2mRWHes3dgWrT9titxvq | 12cbQLTFMXRnSzktFkuoG3eHoMeFtpTu3S,12cbQLTFMXRnSzktFkuoG3eHoMeFtpTu3S
183,2009-01-12 06:34:22.000000 UTC,12b5633bad1f9c167d523ad1aa1947b2732a865bf5414eab2f9e5ae5d5c191ba,1,2,29,29,0,1.00000000 | 28.00000000,13HtsYzne8xVPdGDnmJX8gHgBZerAfJGEf | 12cbQLTFMXRnSzktFkuoG3eHoMeFtpTu3S,12cbQLTFMXRnSzktFkuoG3eHoMeFtpTu3S
187,2009-01-12 07:16:40.000000 UTC,4385fcf8b14497d0659adccfe06ae7e38e0b5dc95ff8a13d7c62035994a0cd79,1,1,1,1,0,1.00000000,15NUwyBYrZcnUgTagsm1A7M2yL2GntpuaZ,13HtsYzne8xVPdGDnmJX8gHgBZerAfJGEf
221,2009-01-12 14:21:00.000000 UTC,298ca2045d174f8a158961806ffc4ef96fad02d71a6b84d9fa0491813a776160,1,1,1,1,0,1.00000000,1BDvQZjaAJH4ecZ8aL3fYgTi7rnn3o2thE,1LzBzVqEeuQyjD2mRWHes3dgWrT9titxvq
248,2009-01-12 20:04:20.000000 UTC,828ef3b079f9c23829c56fe86e85b4a69d9e06e5b54ea597eef5fb3ffef509fe,1,2,28,28,0,10.00000000 | 18.00000000,1ByLSV2gLRcuqUmfdYcpPQH8Npm8cccsFg | 12cbQLTFMXRnSzktFkuoG3eHoMeFtpTu3S,12cbQLTFMXRnSzktFkuoG3eHoMeFtpTu3S
496,2009-01-14 20:40:55.000000 UTC,a3b0e9e7cddbbe78270fa4182a7675ff00b92872d8df7d14265a2b1e379a9d33,3,1,61,61,0,61.00000000,1BBz9Z15YpELQ4QP5sEKb1SwxkcmPb5TMs,18SH9vwx24L5cTabfkgtGMjF8A56pD9AUJ | 15NUwyBYrZcnUgTagsm1A7M2yL2GntpuaZ | 1ByLSV2gLRcuqUmfdYcpPQH8Npm8cccsFg
524,2009-01-15 01:46:26.000000 UTC,d71fd2f64c0b34465b7518d240c00e83f6a5b10138a7079d1252858fe7e6b577,1,2,50,50,0,25.00000000 | 25.00000000,1DCbY2GYVaAMCBpuBNN5GVg3a47pNK1wdi | 1Jhk2DHosaaZx1E4CbnTGcKM7FC88YHYv9,1Jhk2DHosaaZx1E4CbnTGcKM7FC88YHYv9
545,2009-01-15 05:48:32.000000 UTC,35288d269cee1941eaebb2ea85e32b42cdb2b04284a56d8b14dcc3f5c65d6055,1,2,25,25,0,1.00000000 | 24.00000000,1DZTzaBHUDM7T3QvUKBz4qXMRpkg8jsfB5 | 1DCbY2GYVaAMCBpuBNN5GVg3a47pNK1wdi,1DCbY2GYVaAMCBpuBNN5GVg3a47pNK1wdi
